NAME,POS,EST. RETURN DATE,STATUS,COMMENT
Zaccharie Risacher,F,Jan 26,Out,"Jan 19: The Hawks announced Monday that Risacher (knee) will be re-evaluated in one week, Kevin Chouinard of the Hawks' official site reports."
Kristaps Porzingis,C,Jan 26,Out,"Jan 19: The Hawks announced Monday that Porzingis (Achilles) will be re-evaluated in one week, Kevin Chouinard of the Hawks' official site reports."
N'Faly Dante,C,Jan 1,Out,"Dec 23: Dante will undergo season-ending surgery to repair a torn ACL in his right knee, Michael Scotto of USA Today reports."
Josh Minott,F,Jan 26,Out,"Jan 24: Minott (ankle) is out for Saturday's game against the Bulls, Justin Turpin of WEEI.com reports."
Jayson Tatum,F,Apr 1,Out,"Oct 9: The Celtics have not ruled Tatum (Achilles) out for the 2025-26 season, ESPN's Shams Charania reported on the Pat McAfee Show on Thursday."
Nolan Traore,G,Jan 27,Out,Jan 24: Traore has been ruled out for Sunday's game against the Clippers due to illness.
Noah Clowney,F,Jan 25,Day-To-Day,"Jan 24: Clowney (back) is doubtful to play Sunday against the Clippers, Brian Lewis of the New York Post reports."
Cam Thomas,G,Jan 27,Out,Jan 24: Thomas won't play in Sunday's game against the Clippers due to a sprained left ankle.
Haywood Highsmith,F,Jan 27,Out,Jan 19: Highsmith (knee) is out for Monday's game against the Suns.
KJ Simpson,G,Jan 26,Out,Jan 23: Simpson (hip) has been ruled out for Saturday's game against the Wizards.
Mason Plumlee,C,Feb 19,Out,"Dec 31: Plumlee underwent surgery to address his right groin injury and will be reevaluated in six weeks, the Hornets announced."
Tre Jones,G,Feb 9,Out,"Jan 23: Jones (hamstring) will be re-evaluated in two weeks, Will Gottlieb of AllCHGO.com reports."
Zach Collins,F,Feb 19,Out,"Jan 14: Head coach Billy Donovan said he doesn't think Collins (toe) will return before the All-Star break, which begins Feb. 13, K.C. Johnson of Chicago Sports Network reports."
Noa Essengue,F,Oct 1,Out,"Dec 3: Essengue will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, K.C. Johnson of Chicago Sports Network reports."
De'Andre Hunter,F,Jan 26,Out,"Jan 24: Hunter (knee) won't play Saturday versus the Magic, Chris Fedor of The Cleveland Plain Dealer reports."
Sam Merrill,G,Jan 26,Out,Jan 24: Merrill (hand) has been ruled out for Saturday's game against the Magic.
Chris Livingston,F,Jan 26,Out,"Jan 24: Livingston agreed to a two-way contract with the Cavaliers on Friday, Shams Charania of ESPN reports."
Darius Garland,G,Jan 28,Out,Jan 18: Garland will be re-evaluated in the next 7-to-10 days after being diagnosed with a Grade 1 right big toe sprain.
Max Strus,G,Feb 19,Out,"Jan 6: Strus (foot) is expected to miss at least four more weeks, Marc J. Spears of ESPN.com reports."
Moussa Cisse,C,Jan 25,Out,Jan 24: Cisse (illness) won't play in Saturday's game against the Lakers.
Anthony Davis,F,Mar 1,Out,"Jan 13: A second opinion revealed Davis (finger) won't require surgery, and he'll be re-evaluated in six weeks, Shams Charania of ESPN reports."
Dereck Lively II,C,Oct 1,Out,Dec 21: Lively successfully underwent surgery on his right foot Sunday.
Kyrie Irving,G,Feb 12,Out,"Dec 13: Irving (knee) remains out indefinitely and doesn't have a return timetable, Mavericks reporter Grant Afseth said during an appearance on HoopsHype's podcast 'Around the Beat' on Friday."
Dante Exum,G,Oct 1,Out,Nov 20: The Mavericks announced Thursday that Exum will undergo season-ending knee surgery.
Jonas Valanciunas,C,Jan 25,Day-To-Day,Jan 24: Valanciunas (calf) is questionable to play Sunday in Memphis.
Peyton Watson,G,Jan 25,Day-To-Day,Jan 24: Watson (ankles) is listed as questionable for Sunday's game against the Grizzlies.
Christian Braun,G,Jan 27,Out,Jan 24: Braun (ankle) has been ruled out for Sunday's game against the Grizzlies.
Aaron Gordon,F,Jan 27,Out,Jan 24: Gordon (hamstring) has been ruled out for Sunday's game in Memphis.
Jamal Murray,G,Jan 25,Day-To-Day,Jan 24: Murray (hamstring/hip) is listed as questionable for Sunday's game against Memphis.
Cameron Johnson,F,Jan 27,Out,"Jan 20: Johnson (knee) has yet to progress to contact work and remains out indefinitely, Vic Lombardi of Altitude Sports reports."
Nikola Jokic,C,Feb 1,Out,"Jan 14: Jokic (knee) has resumed on-court workouts, ESPN's Shams Charania reports."
