feature,mean_abs_shap
home_home_pts_for_last10,0.21580070076613067
home_home_pts_against_last10,0.17446964523626418
away_top5_missing,0.13570337407717997
away_net_last10,0.12381701643167671
home_top3_missing,0.10512611715056235
home_net_last10,0.10124726835055801
home_pts_against_last10,0.08804033799938554
away_away_win_pct_last10,0.08643016956586208
home_season_win_pct_to_date,0.08423496097864146
away_pts_for_last10,0.08257600571403242
away_b2b,0.07965793906584645
away_win_pct_last10,0.07540808267627908
away_season_win_pct_to_date,0.06342082536278555
away_pts_against_last10,0.059540361606461485
away_away_pts_against_last10,0.05841396054602629
home_win_pct_last10,0.055410985508894124
home_b2b,0.049823903516133056
home_top5_missing,0.03969417949548708
home_rest_days,0.03966011496286408
away_away_pts_for_last10,0.038350093026906784
away_top3_missing,0.03144286112011249
home_pts_for_last10,0.025182595601153348
away_rest_days,0.02392690983507278
home_home_win_pct_last10,0.0018055045586990487
