PERSON_ID,JERSEY_NUMBER,TEAM_ABBREVIATION
2546,7,LAL
1642379,1,GSW
201571,4,LAL
1630542,38,PHI
1631116,23,LAC
76112,34,SAC
1641878,7,CHA
203382,46,DET
203461,24,MIN
1629048,35,ORL
76191,11,SAC
76209,19,GSW
762,44,DAL
1628515,13,ORL
1631232,null,NOP
359,52,CLE
1627759,7,BOS
76291,31,DAL
76293,21,SAC
76318,24,DET
76336,21,DEN
76356,3-5,PHI
1472,24,OKC
203565,null,UTA
928,21,GSW
902,12,MIA
1641879,null,GSW
76436,45,PHX
203496,33,PHI
1630595,2,DET
76509,11,NYK
76531,32,LAC
1627098,5,ATL
76553,42,NYK
725,5,SAS
76003,33,LAL
76019,31,WAS
680,13,ORL
1626251,26,SAC
204067,31,WAS
251,32,SAS
1630623,10,BKN
1629234,19,SAC
76703,45,HOU
76721,4,GSW
1902,10,IND
76759,17,SAC
76779,12,GSW
1904,19,LAL
1921,2,UTA
76839,15,ATL
81,20,MIL
76886," ",GSW
76910,45,IND
76954,32,POR
1626149,5,PHI
2239,44,MIN
76988,15,BOS
1628987,15,OKC
77032,14,LAL
1106,35,DAL
1967,55,CHA
77071,35,CLE
77076,6,SAS
77089,10,DET
77101,24,PHX
2544,23,LAL
2639,31,ORL
202707,12,BOS
77156,10,LAC
77158,null,HOU
77171,34,DET
77200,22,PHI
2736,9,CHI
203476,41,SAS
76590,13,DET
77293,23,PHX
77320,5,SAC
1630228,1,GSW
77334,54,LAL
287,55,UTA
736,42,WAS
1629155,18,DET
77425,7,NYK
77443,16,BOS
200806,52,MIL
193,17,NYK
1628769,6,BKN
1629667,2,NOP
77546,17,WAS
77574,null,BAL
77596,42,DET
77613,15,NYK
1642349,25,OKC
376,00,DET
1631111,9,DET
132,50,GSW
1630530,25,NOP
2436,6,OKC
77691,42,POR
201193,35,CHI
1641936,0,BOS
1717,41,DAL
77751,10,DET
1628400,37,LAC
77772,23,PHI
1626224,16,SAS
77820,5,CHI
202354,45,MIA
1627850,40,NYK
204001,8,ATL
77214,40,BKN
1630283,50,LAL
1118,7,CHA
735,50,MEM
2047,55,LAC
914,53,LAC
1631223,45,TOR
78016,42,LAC
78031,32,CHA
78069,15,SAC
78146,12,IND
1631301,30,CHA
78184,10,PHI
1642449,35,DET
78219,24,WAS
78220,35,CLE
78221,null,HUS
1629034,26,PHX
2779,10,HOU
600009,2,NYK
78226,12,BOS
1629016,14,GSW
1642285,24,MEM
280,50,MIN
78230,null,PRO
201168,47,SAS
84,8,GSW
1630531,11,NOP
78235,null,JET
711,42,DET
78238,9,NYK
78240,19-21,AND
1630191,28,DET
1628464,10,NOP
201574,1,SAC
1631166,26,LAL
1641772,35,CLE
1643018,18,GSW
1626643,00,PHI
1642389,null,MIN
77843,9,NYK
1539,2,WAS
1629686,91,IND
380,34,LAL
1628372,4,DAL
2226,1,MEM
2443,25,WAS
203480,31,NOP
2776,9,TOR
78222,34,DAL
78223,16,NYK
78225,15,SAC
78227,20,SAC
771,27,LAC
1630311,61,GSW
78231,17,CHI
78232,27,SAC
78233,35,LAL
78234,null,JET
1756,10,CLE
78237,20,BOS
78239,15,UTA
201155,2,DET
78294,43,LAL
1630679,55,IND
78352,4,ATL
78372,35,OKC
201987,30,OKC
1630492,6,MIL
78435,25,PHI
201611,5,NYK
78438,15,WAS
78454,22,PHI
2248,17,OKC
420,55,BKN
1642443,17,MIA
1642050,44,GSW
2422,25,SAC
78100,31,DET
76005,5,GSW
76006,6,PHI
76007,null,PIT
203518,8,OKC
1630173,9,SAC
101165,3,LAC
76008," ",NYK
76010,24,HOU
203112,13,SAC
76011,33,PHX
76012,10,DET
200801,8,BKN
1629121,10,ATL
76111,null,BOM
76171,11,GSW
76255,12-15,NYK
202221,43,DEN
76407,null,WAT
76470,15,BOS
76690,null,PIT
2347,5,MIA
202238,4,MIA
1641747,14,DEN
77112,null,BOM
77234,null,WAS
1630253,30,MEM
77889,null,GSW
78019,null,NYK
78148,null,HUS
78214,null,SHE
78492,50,BOS
1630762,null,PHI
78514,4,GSW
786,21,NYK
201944,55,BKN
112,10,POR
1460,42,LAL
51,1,DEN
1505,9,SAC
949,3,MEM
1628389,13,MIA
76015,5,POR
202399,12,CHA
201167,4,DEN
1630534,30,TOR
200772,13,DAL
76016,7,DAL
201336,2,MIA
76017,22,BOS
201582,42,NOP
76018,10,NYK
203006,10,DAL
1629152,44,DEN
202374,50,TOR
76020,24,DET
1630583,7,MEM
203128,19,PHI
202332,45,NYK
200746,21,BKN
76021,50,GSW
1626146,34,POR
724,12,SAS
