game_folder,clip,teams_source,detected_teams,jersey_candidates,resolved_person_id
2026-02-03,01.mp4,logo,PHX,"6,91,7,40,0,70,70,3,7,5,2,5,3,5,30,4",1453.0
2026-02-03,02.mp4,ocr,"BKN,BOS","21,21,21,21,21,21,21,21,21,21,0,0,7,7,7,33,93,33,38,33,33,93,93,7,7,98,93,98,93,98,98,33,38,38,38,38,38,38,8,38,18,38,18,18,18,88,38,86,18,6,72,73,0,30,30",2215.0
2026-02-03,03.mp4,ocr,"BKN,BOS","17,17,17,17,88,88,88,98,98,33,33,83,33,33,33,17,17,5,5,17,5,5,3,17,3,17,3,17,3,17,3,17,65,65,65,65,65,35,55,9,88,88,88,88,88,38,8",1629008.0
2026-02-03,04.mp4,ocr,"BKN,BOS","88,88,88,88,88,88,88,88,88,88,88,88,18,8,88,18,8,18,8,18,8,18,8,18,8,18,18,3,38,98,98,33,88,86,88,9,9,9,88,04,88,07,3,88,88,1,85,10,89,16,83,2,89,69,28,3,55,55,3,65,66,65,35,35,55,3,55,55,59,6,6",1642849.0
2026-02-03,05.mp4,ocr,"BKN,BOS","5,55,5,55,55,38,18,8,33,7,8,39,8,39,3,93,93,33,33,93,93,8,88,88,88,88,88,1,8,33,33",202386.0
2026-02-03,06.mp4,ocr,"BKN,BOS","38,98,98,98,63,8,88,88,88,88,88,88,88,88,88,88,88,88,8,88,88,88,88,88,88,88,88,88,4,4,3,88,88,88,88,38,7,7,8,3,8,2,78,9,58,98,38,38,78,78,98,38,38,96,98,98,98,21,21,21",2215.0
2026-02-03,07.mp4,ocr,"BKN,BOS","33,33,38,33,38,33,33,33,21,21,21,21,3,21,21,21,21,21,9,9,7,8,8,7,9,0,1",203543.0
2026-02-03,08.mp4,ocr,"BKN,BOS","55,55,55,65,65,65,55,32,9,9,9,55,55,55,55,98,98,93,28,23,93,9,93,5,4,93,8,0,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,8,33,3",202082.0
2026-02-03,09.mp4,ocr,"BKN,BOS","5,6,5,5,5,21,21,33,33,6,33,66,21,21,21,21,6,21,21,21,21,3,2,2,7,7,7,7,7,7",
2026-02-03,10.mp4,ocr,"BKN,BOS","38,98,98,38,98,98,98,38,38,38,38,7,7,7,7,7,7,7,7,5,1,1,14,14,14,1,1,4,5,3,4,4,3,5,5",2215.0
2026-02-28-HOUMIA,01.mp4,ocr,"HOU,MIA","17,17,17,17,17,17,17,17,17,17",
2026-02-28-HOUMIA,02.mp4,ocr,"HOU,MIA","17,7,7,17,7,7",
2026-02-28-HOUMIA,03.mp4,ocr,"HOU,MIA","45,45,45,45,45,45,28,28,28,45,45,45,45,45,45,45,28,28,28,28,28,22,8,28,28,28,28,28,12,8,45,72,8,22,8,12,8,12,8,28,28,28,28,28,28,28,15,15,15,15,2,15,45,14,45,4,5,5,5,5,15,6,1,1,15",1642066.0
2026-02-28-HOUMIA,04.mp4,ocr,"HOU,MIA","8,7,3,5,9,3,5,8,2,3,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,28,4,28,27,27,29,2,2,25,25,29,25,25,29,6,3,29,25,48,7,4,3",1509.0
2026-02-28-HOUMIA,05.mp4,ocr,"HOU,MIA","13,15,13,13,71,3,71,3,13,13,13,19,18,18,14,4,4,1,1,17,17,17,17,17,17,17,0,1,17,17,17,17,7,7,7",2351.0
2026-02-28-HOUMIA,06.mp4,ocr,"HOU,MIA","28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,15,28,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,3,7,7,7,7,7,7,3,7,15,15,15,15,15,03,15,82,15,82,15,7,32,23,33,23,7",1642066.0
2026-02-28-HOUMIA,07.mp4,ocr,"HOU,MIA","28,28,28,28,28,28,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,73,73,23,23,73,73,73,73,2,3,1,9,1,8,11,76,30,30,30,30,30,1,30,30,30,30,30,1,30,1,30,1,30,1,30,30,30,30,30,30,30,30,30,30,30,30,30",
2026-02-28-HOUMIA,08.mp4,ocr,"HOU,MIA","15,28,28,28,28,28,28,28,28,15,15,15,15,15,15,4,15,15,28,28,28,28,7,72,2,2,2,2,2,7,7,2,3,7,2,2,2,2,2",1642066.0
2026-02-28-HOUMIA,09.mp4,ocr,"HOU,MIA","3,48,23,17,17,17,17,9,17,17,17,17,5,17,17,17,4,17,17,17,17,4,17,4,17,4,17,4,17,4,2,2,2,2,4,17,17,4,17,17,0",
2026-02-28-HOUMIA,10.mp4,ocr,"HOU,MIA","17,17,17,17,17,17,32,22,22,9,9,9,9,9,1,2,2,4,4,4,4,4,4,4",
2026-03-02-NYKMIL,01.mp4,logo,NYK,2,
2026-03-02-NYKMIL,02.mp4,logo,,"37,32,3,25,3,8,06,6,4,2,2,3,2,2,2,3,3,7,2,3,7,2,2,3,2,8,2,9",
2026-03-02-NYKMIL,03.mp4,logo,POR,73,
2026-03-02-NYKMIL,04.mp4,logo,BOS,"3,3,3,3,3,1,7,1,2,6,92,1,92,92,19,19,9,8,3",
2026-03-02-NYKMIL,05.mp4,logo,,"3,3,3,3,3,3,3,3,7,3,7,3,4,7,3,7,3,3,7,7,1,7,4,18,18,18,18,18,18,18,07,4,18,18,18,31",
2026-03-02-NYKMIL,06.mp4,logo,BOS,"00,00,0,00,00,0,0,0,0,0,0,51",305.0
2026-03-02-NYKMIL,07.mp4,logo,BOS,"2,27,2,24,9,24,9,24,9,24,9,24,24,9,24,24,24,24,24,12,24,24,24,22,24,32,24,74,32,74,32,24,32,24,24,24,24,9,0,9,0,0,9,00,00,9,00,9,00,9,4,24,4,14,24",305.0
2026-03-02-NYKMIL,08.mp4,logo,,"5,5,25,5,25,5,25,5,2,2,2,5,50,5,4",
2026-03-02-NYKMIL,09.mp4,logo,ORL,"0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9",
2026-03-02-NYKMIL,10.mp4,logo,ORL,"9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,0,0,9,9,9,9,9,9,4,9,9,9,9,9,9,9,0,0,0,0,0,9,9,9,9,04,9",
2026-03-03-MINLAC,01.mp4,ocr,"MIN,LAC","27,8,27,8,27,8,27,27,5,2,5,5,5,5,5,5,5,5,5,5",203497.0
2026-03-03-MINLAC,02.mp4,ocr,"MIN,LAC","30,30,30,30,30,3,3,30,30,5,5,5,5,5,5,30,30,30,5,5,5,5,5,5,5,5,5,5,3,3,3,30,30,3,3",1630162.0
2026-03-03-MINLAC,03.mp4,ocr,"MIN,LAC",,
