id,clip_id,person_id,player_conf,player_source,event,event_conf,score,score_breakdown,created_at,player_id
2,1,,0,unknown,dunk,0,0.6936,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.6249999999999994,""motion_norm"":0.730608947297377,""audio_mean_db"":-20.6,""motion_energy"":0.13561072769751178}",2026-02-28 21:03:58.151087+00,1630573
3,2,,0,unknown,dunk,0,0.1531,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.4375000000000014,""motion_norm"":0,""audio_mean_db"":-20.9,""motion_energy"":0.11834061584403875}",2026-02-28 21:03:58.778769+00,1629008
4,3,,0,unknown,three,0,0.9125,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.7500000000000011,""motion_norm"":1,""audio_mean_db"":-20.4,""motion_energy"":0.1419785851261801}",2026-02-28 21:03:59.293044+00,1628401
5,4,,0,unknown,three,0,0.2516,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0,""motion_norm"":0.38704498546039895,""audio_mean_db"":-21.6,""motion_energy"":0.1274895733211585}",2026-02-28 21:03:59.752204+00,1641730
6,5,,0,unknown,three,0,0.5182,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":1,""motion_norm"":0.2588032329695613,""audio_mean_db"":-20,""motion_energy"":0.12445819871509212}",2026-02-28 21:04:00.222916+00,1631248
7,6,,0,unknown,dunk,0,0.4647,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.9374999999999992,""motion_norm"":0.21005606901564103,""audio_mean_db"":-20.1,""motion_energy"":0.12330591475095784}",2026-02-28 21:04:00.744884+00,1629651
8,7,,0,unknown,three,0,0.8559,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":1,""motion_norm"":0.7782935702336863,""audio_mean_db"":-20,""motion_energy"":0.13673789534971076}",2026-02-28 21:04:01.140376+00,1628401
9,8,,0,unknown,dunk,0,0.1424,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.37500000000000056,""motion_norm"":0.017169658726425924,""audio_mean_db"":-21,""motion_energy"":0.11874647170959886}",2026-02-28 21:04:01.54405+00,1629008
10,9,,0,unknown,three,0,0.7876,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.6249999999999994,""motion_norm"":0.8752122061254265,""audio_mean_db"":-20.6,""motion_energy"":0.13902885508778676}",2026-02-28 21:04:01.950352+00,1631248
11,10,,0,unknown,dunk,0,0.4379,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.6249999999999994,""motion_norm"":0.3371583002988466,""audio_mean_db"":-20.6,""motion_energy"":0.12631035338972188}",2026-02-28 21:04:02.375782+00,202696
13,11,,0,unknown,three,0,0.85,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.57142857142857,""motion_norm"":1,""audio_mean_db"":-20.6,""motion_energy"":0.13344676973353442}",2026-03-01 16:50:15.325736+00,1642263
14,13,,0,unknown,dunk,0,0.4103,"{""weights"":{""audio"":0.35,""motion"":0.65},""audio_norm"":0.714285714285715,""motion_norm"":0.24668463232861731,""audio_mean_db"":-20.5,""motion_energy"":0.09767159481313893}",2026-03-01 20:51:28.647207+00,1641708
